document_id,case_title,judges_name(s),date_of_judgment,citation,issues,decision,cited_cases,all_text
31,Case 31 vs Case 32,"Kurian Joseph, N. V. Ramana","22 December, 2020",,Corporate Fraud|Contract breach,1,A. R. Antulay v. R. S. Nayak|Keshavananda Bharati v. State of Kerala,"Corporate fraud and contract breaches were at the center of this case, with the court highlighting transparency in financial dealings."
32,Case 32 vs Case 33,"Indu Malhotra, D. Y. Chandrachud","05 February, 2018",,Section 302 in The Indian Penal Code|Defamation,-1,S. P. Gupta v. President of India|Indira Nehru Gandhi v. Raj Narain,"This case examined standards of evidence in serious criminal cases under section 302 IPC, with the court requiring stronger proof for defamation charges."
33,Case 33 vs Case 34,"A. K. Sikri, Arun Mishra","10 June, 2019",,Property Dispute|Contract Breach,1,Navtej Singh Johar v. Union of India|Olga Tellis v. Bombay Municipal Corporation,"Property rights were debated alongside contractual obligations in this dispute, with the court ultimately ruling in favor of the plaintiff."
34,Case 34 vs Case 35,"Madan B. Lokur, R. F. Nariman","16 July, 2022",,Fraudulent Transactions|Labour Law,1,MC Mehta v. Union of India|S. P. Gupta v. President of India,"The case explored issues related to labor law and fraudulent transactions in a corporate setting, emphasizing the need for compliance."
35,Case 35 vs Case 36,"D. Y. Chandrachud, Kurian Joseph","18 August, 2020",,Constitutional Law|Freedom of Speech,1,Keshavananda Bharati v. State of Kerala|MC Mehta v. Union of India,"In this case, the court examined the limits of freedom of speech under the Indian Constitution, ruling in favor of broader protections for individual expression."
36,Case 36 vs Case 37,"R. F. Nariman, Indu Malhotra","11 March, 2021",,Labour Laws|Corporate Governance,-1,Navtej Singh Johar v. Union of India|Vishaka v. State of Rajasthan,"The judgment highlighted the need for stricter labor law compliance in corporate governance cases, citing previous rulings on worker rights."
37,Case 37 vs Case 38,"A. K. Sikri, N. V. Ramana","28 May, 2019",,Contract breach|Section 420 in The Indian Penal Code,1,S. P. Gupta v. President of India|Indira Nehru Gandhi v. Raj Narain,"The court reinforced that breaches of contract, when coupled with fraudulent practices, can lead to criminal prosecution under section 420 of the IPC."
38,Case 38 vs Case 39,"Madan B. Lokur, U. U. Lalit","14 September, 2022",,Environmental Law|Public Interest Litigation,1,MC Mehta v. Union of India|Aruna Shanbaug v. Union of India,"This public interest litigation brought attention to environmental regulations, stressing the need for legal reform in environmental protection."
39,Case 39 vs Case 40,"Arun Mishra, A. K. Sikri","07 November, 2023",,Defamation|Right to Privacy,1,Vishaka v. State of Rajasthan|Olga Tellis v. Bombay Municipal Corporation,"In a landmark decision, the court upheld the right to privacy, balancing it with defamation laws to protect personal reputation."
40,Case 40 vs Case 41,"U. U. Lalit, R. F. Nariman","19 October, 2021",,Bail under CrPC|Section 149 in The Indian Penal Code,-1,Olga Tellis v. Bombay Municipal Corporation|Navtej Singh Johar v. Union of India,"The ruling reinforced that bail must be carefully weighed against the severity of the crime, with the burden on the prosecution to present strong evidence."
41,Case 41 vs Case 42,"Kurian Joseph, N. V. Ramana","22 December, 2020",,Corporate Fraud|Contract breach,1,A. R. Antulay v. R. S. Nayak|Keshavananda Bharati v. State of Kerala,"Corporate fraud and contract breaches were at the center of this case, with the court highlighting transparency in financial dealings."
42,Case 42 vs Case 43,"Indu Malhotra, D. Y. Chandrachud","05 February, 2018",,Section 302 in The Indian Penal Code|Defamation,-1,S. P. Gupta v. President of India|Indira Nehru Gandhi v. Raj Narain,"This case examined standards of evidence in serious criminal cases under section 302 IPC, with the court requiring stronger proof for defamation charges."
43,Case 43 vs Case 44,"A. K. Sikri, Arun Mishra","10 June, 2019",,Property Dispute|Contract Breach,1,Navtej Singh Johar v. Union of India|Olga Tellis v. Bombay Municipal Corporation,"Property rights were debated alongside contractual obligations in this dispute, with the court ultimately ruling in favor of the plaintiff."
44,Case 44 vs Case 45,"Madan B. Lokur, R. F. Nariman","16 July, 2022",,Fraudulent Transactions|Labour Law,1,MC Mehta v. Union of India|S. P. Gupta v. President of India,"The case explored issues related to labor law and fraudulent transactions in a corporate setting, emphasizing the need for compliance."
45,Case 45 vs Case 46,"D. Y. Chandrachud, Kurian Joseph","18 August, 2020",,Constitutional Law|Freedom of Speech,1,Keshavananda Bharati v. State of Kerala|MC Mehta v. Union of India,"In this case, the court examined the limits of freedom of speech under the Indian Constitution, ruling in favor of broader protections for individual expression."
46,Case 46 vs Case 47,"R. F. Nariman, Indu Malhotra","11 March, 2021",,Labour Laws|Corporate Governance,-1,Navtej Singh Johar v. Union of India|Vishaka v. State of Rajasthan,"The judgment highlighted the need for stricter labor law compliance in corporate governance cases, citing previous rulings on worker rights."
47,Case 47 vs Case 48,"A. K. Sikri, N. V. Ramana","28 May, 2019",,Contract breach|Section 420 in The Indian Penal Code,1,S. P. Gupta v. President of India|Indira Nehru Gandhi v. Raj Narain,"The court reinforced that breaches of contract, when coupled with fraudulent practices, can lead to criminal prosecution under section 420 of the IPC."
48,Case 48 vs Case 49,"Madan B. Lokur, U. U. Lalit","14 September, 2022",,Environmental Law|Public Interest Litigation,1,MC Mehta v. Union of India|Aruna Shanbaug v. Union of India,"This public interest litigation brought attention to environmental regulations, stressing the need for legal reform in environmental protection."
49,Case 49 vs Case 50,"Arun Mishra, A. K. Sikri","07 November, 2023",,Defamation|Right to Privacy,1,Vishaka v. State of Rajasthan|Olga Tellis v. Bombay Municipal Corporation,"In a landmark decision, the court upheld the right to privacy, balancing it with defamation laws to protect personal reputation."
50,Case 50 vs Case 51,"U. U. Lalit, R. F. Nariman","19 October, 2021",,Bail under CrPC|Section 149 in The Indian Penal Code,-1,Olga Tellis v. Bombay Municipal Corporation|Navtej Singh Johar v. Union of India,"The ruling reinforced that bail must be carefully weighed against the severity of the crime, with the burden on the prosecution to present strong evidence."
51,Case 51 vs Case 52,"Kurian Joseph, N. V. Ramana","22 December, 2020",,Corporate Fraud|Contract breach,1,A. R. Antulay v. R. S. Nayak|Keshavananda Bharati v. State of Kerala,"Corporate fraud and contract breaches were at the center of this case, with the court highlighting transparency in financial dealings."
52,Case 52 vs Case 53,"Indu Malhotra, D. Y. Chandrachud","05 February, 2018",,Section 302 in The Indian Penal Code|Defamation,-1,S. P. Gupta v. President of India|Indira Nehru Gandhi v. Raj Narain,"This case examined standards of evidence in serious criminal cases under section 302 IPC, with the court requiring stronger proof for defamation charges."
53,Case 53 vs Case 54,"A. K. Sikri, Arun Mishra","10 June, 2019",,Property Dispute|Contract Breach,1,Navtej Singh Johar v. Union of India|Olga Tellis v. Bombay Municipal Corporation,"Property rights were debated alongside contractual obligations in this dispute, with the court ultimately ruling in favor of the plaintiff."
54,Case 54 vs Case 55,"Madan B. Lokur, R. F. Nariman","16 July, 2022",,Fraudulent Transactions|Labour Law,1,MC Mehta v. Union of India|S. P. Gupta v. President of India,"The case explored issues related to labor law and fraudulent transactions in a corporate setting, emphasizing the need for compliance."
55,Case 55 vs Case 56,"D. Y. Chandrachud, Kurian Joseph","18 August, 2020",,Constitutional Law|Freedom of Speech,1,Keshavananda Bharati v. State of Kerala|MC Mehta v. Union of India,"In this case, the court examined the limits of freedom of speech under the Indian Constitution, ruling in favor of broader protections for individual expression."
56,Case 56 vs Case 57,"R. F. Nariman, Indu Malhotra","11 March, 2021",,Labour Laws|Corporate Governance,-1,Navtej Singh Johar v. Union of India|Vishaka v. State of Rajasthan,"The judgment highlighted the need for stricter labor law compliance in corporate governance cases, citing previous rulings on worker rights."
57,Case 57 vs Case 58,"A. K. Sikri, N. V. Ramana","28 May, 2019",,Contract breach|Section 420 in The Indian Penal Code,1,S. P. Gupta v. President of India|Indira Nehru Gandhi v. Raj Narain,"The court reinforced that breaches of contract, when coupled with fraudulent practices, can lead to criminal prosecution under section 420 of the IPC."
58,Case 58 vs Case 59,"Madan B. Lokur, U. U. Lalit","14 September, 2022",,Environmental Law|Public Interest Litigation,1,MC Mehta v. Union of India|Aruna Shanbaug v. Union of India,"This public interest litigation brought attention to environmental regulations, stressing the need for legal reform in environmental protection."
59,Case 59 vs Case 60,"Arun Mishra, A. K. Sikri","07 November, 2023",,Defamation|Right to Privacy,1,Vishaka v. State of Rajasthan|Olga Tellis v. Bombay Municipal Corporation,"In a landmark decision, the court upheld the right to privacy, balancing it with defamation laws to protect personal reputation."
60,Case 60 vs Case 61,"U. U. Lalit, R. F. Nariman","19 October, 2021",,Bail under CrPC|Section 149 in The Indian Penal Code,-1,Olga Tellis v. Bombay Municipal Corporation|Navtej Singh Johar v. Union of India,"The ruling reinforced that bail must be carefully weighed against the severity of the crime, with the burden on the prosecution to present strong evidence."
61,Case 61 vs Case 62,"Kurian Joseph, N. V. Ramana","22 December, 2020",,Corporate Fraud|Contract breach,1,A. R. Antulay v. R. S. Nayak|Keshavananda Bharati v. State of Kerala,"Corporate fraud and contract breaches were at the center of this case, with the court highlighting transparency in financial dealings."
62,Case 62 vs Case 63,"Indu Malhotra, D. Y. Chandrachud","05 February, 2018",,Section 302 in The Indian Penal Code|Defamation,-1,S. P. Gupta v. President of India|Indira Nehru Gandhi v. Raj Narain,"This case examined standards of evidence in serious criminal cases under section 302 IPC, with the court requiring stronger proof for defamation charges."
63,Case 63 vs Case 64,"A. K. Sikri, Arun Mishra","10 June, 2019",,Property Dispute|Contract Breach,1,Navtej Singh Johar v. Union of India|Olga Tellis v. Bombay Municipal Corporation,"Property rights were debated alongside contractual obligations in this dispute, with the court ultimately ruling in favor of the plaintiff."
64,Case 64 vs Case 65,"Madan B. Lokur, R. F. Nariman","16 July, 2022",,Fraudulent Transactions|Labour Law,1,MC Mehta v. Union of India|S. P. Gupta v. President of India,"The case explored issues related to labor law and fraudulent transactions in a corporate setting, emphasizing the need for compliance."
65,Case 65 vs Case 66,"D. Y. Chandrachud, Kurian Joseph","18 August, 2020",,Constitutional Law|Freedom of Speech,1,Keshavananda Bharati v. State of Kerala|MC Mehta v. Union of India,"In this case, the court examined the limits of freedom of speech under the Indian Constitution, ruling in favor of broader protections for individual expression."
66,Case 66 vs Case 67,"R. F. Nariman, Indu Malhotra","11 March, 2021",,Labour Laws|Corporate Governance,-1,Navtej Singh Johar v. Union of India|Vishaka v. State of Rajasthan,"The judgment highlighted the need for stricter labor law compliance in corporate governance cases, citing previous rulings on worker rights."
67,Case 67 vs Case 68,"A. K. Sikri, N. V. Ramana","28 May, 2019",,Contract breach|Section 420 in The Indian Penal Code,1,S. P. Gupta v. President of India|Indira Nehru Gandhi v. Raj Narain,"The court reinforced that breaches of contract, when coupled with fraudulent practices, can lead to criminal prosecution under section 420 of the IPC."
68,Case 68 vs Case 69,"Madan B. Lokur, U. U. Lalit","14 September, 2022",,Environmental Law|Public Interest Litigation,1,MC Mehta v. Union of India|Aruna Shanbaug v. Union of India,"This public interest litigation brought attention to environmental regulations, stressing the need for legal reform in environmental protection."
69,Case 69 vs Case 70,"Arun Mishra, A. K. Sikri","07 November, 2023",,Defamation|Right to Privacy,1,Vishaka v. State of Rajasthan|Olga Tellis v. Bombay Municipal Corporation,"In a landmark decision, the court upheld the right to privacy, balancing it with defamation laws to protect personal reputation."
70,Case 70 vs Case 71,"U. U. Lalit, R. F. Nariman","19 October, 2021",,Bail under CrPC|Section 149 in The Indian Penal Code,-1,Olga Tellis v. Bombay Municipal Corporation|Navtej Singh Johar v. Union of India,"The ruling reinforced that bail must be carefully weighed against the severity of the crime, with the burden on the prosecution to present strong evidence."
71,Case 71 vs Case 72,"Kurian Joseph, N. V. Ramana","22 December, 2020",,Corporate Fraud|Contract breach,1,A. R. Antulay v. R. S. Nayak|Keshavananda Bharati v. State of Kerala,"Corporate fraud and contract breaches were at the center of this case, with the court highlighting transparency in financial dealings."
72,Case 72 vs Case 73,"Indu Malhotra, D. Y. Chandrachud","05 February, 2018",,Section 302 in The Indian Penal Code|Defamation,-1,S. P. Gupta v. President of India|Indira Nehru Gandhi v. Raj Narain,"This case examined standards of evidence in serious criminal cases under section 302 IPC, with the court requiring stronger proof for defamation charges."
73,Case 73 vs Case 74,"A. K. Sikri, Arun Mishra","10 June, 2019",,Property Dispute|Contract Breach,1,Navtej Singh Johar v. Union of India|Olga Tellis v. Bombay Municipal Corporation,"Property rights were debated alongside contractual obligations in this dispute, with the court ultimately ruling in favor of the plaintiff."
74,Case 74 vs Case 75,"Madan B. Lokur, R. F. Nariman","16 July, 2022",,Fraudulent Transactions|Labour Law,1,MC Mehta v. Union of India|S. P. Gupta v. President of India,"The case explored issues related to labor law and fraudulent transactions in a corporate setting, emphasizing the need for compliance."
